z,x,y,code,bvmap_n,bvmap_area_m2,bv_3101,bv_3102,bv_3103,bv_3111,bv_3112,ov_n,ov_area_m2,ov_osm,ov_eab,ov_other
14,14533,6110,01331,0,0,0,0,0,0,0,0,0,0,0,0
14,14533,6111,01331,0,0,0,0,0,0,0,0,0,0,0,0
14,14533,6112,01331,1,109,1,0,0,0,0,2,108,2,0,0
14,14534,6111,01331,0,0,0,0,0,0,0,0,0,0,0,0
14,14534,6112,01331,0,0,0,0,0,0,0,0,0,0,0,0
14,14535,6111,01331,4,607,4,0,0,0,0,4,525,4,0,0
14,14535,6112,01331,0,0,0,0,0,0,0,0,0,0,0,0
14,14536,6070,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14536,6071,01367,45,12734,45,0,0,0,0,65,12790,65,0,0
14,14536,6072,01367,2,1322,2,0,0,0,0,2,1556,2,0,0
14,14536,6073,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14536,6075,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14536,6076,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14536,6077,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14537,6068,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14537,6069,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14537,6070,01367,0,0,0,0,0,0,0,1,6,1,0,0
14,14537,6071,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14537,6072,01367,12,2957,12,0,0,0,0,11,3507,11,0,0
14,14537,6073,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14537,6074,01367,1,95,1,0,0,0,0,1,149,1,0,0
14,14537,6075,01367,6,816,6,0,0,0,0,3,211,3,0,0
14,14537,6076,01367,27,3369,27,0,0,0,0,29,3597,29,0,0
14,14537,6077,01367,18,4365,18,0,0,0,0,26,5290,26,0,0
14,14537,6078,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14538,6068,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14538,6069,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14538,6070,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14538,6071,01367,2,156,2,0,0,0,0,0,0,0,0,0
14,14538,6072,01367,25,7078,25,0,0,0,0,31,8524,31,0,0
14,14538,6073,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14538,6074,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14538,6075,01367,1,133,1,0,0,0,0,2,99,2,0,0
14,14538,6076,01367,23,3193,23,0,0,0,0,34,5472,34,0,0
14,14538,6077,01367,202,45469,198,0,0,4,0,209,42851,209,0,0
14,14538,6078,01367,342,69333,340,0,0,2,0,341,67282,341,0,0
14,14538,6079,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14538,6080,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14538,6081,01367,1,130,1,0,0,0,0,0,0,0,0,0
14,14539,6068,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14539,6069,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14539,6070,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14539,6071,01367,0,0,0,0,0,0,0,3,504,3,0,0
14,14539,6072,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14539,6073,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14539,6074,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14539,6075,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14539,6076,01367,7,785,7,0,0,0,0,4,466,4,0,0
14,14539,6077,01367,39,7873,38,1,0,0,0,51,9656,51,0,0
14,14539,6080,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14540,6068,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14540,6069,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14540,6070,01367,7,1290,6,0,0,1,0,6,1272,6,0,0
14,14540,6071,01367,18,4641,18,0,0,0,0,18,4223,18,0,0
14,14540,6072,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14540,6073,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14540,6074,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14540,6075,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14540,6076,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14540,6077,01367,48,6080,48,0,0,0,0,57,7094,57,0,0
14,14541,6067,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14541,6068,01367,3,400,3,0,0,0,0,4,634,4,0,0
14,14541,6069,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14541,6070,01367,71,11422,70,0,0,1,0,87,11746,87,0,0
14,14541,6071,01367,297,54014,295,1,0,1,0,336,61906,336,0,0
14,14541,6072,01367,102,19812,102,0,0,0,0,123,21055,123,0,0
14,14541,6073,01367,76,11375,76,0,0,0,0,73,11289,73,0,0
14,14541,6074,01367,14,2022,14,0,0,0,0,17,2225,17,0,0
14,14541,6075,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14541,6076,01367,0,0,0,0,0,0,0,0,0,0,0,0
14,14542,6067,01367,25,3785,25,0,0,0,0,36,5096,36,0,0
14,14542,6068,01367,5,615,5,0,0,0,0,5,647,5,0,0
14,14542,6069,01367,101,17557,101,0,0,0,0,136,17501,136,0,0
14,14542,6070,01367,3,361,3,0,0,0,0,5,653,5,0,0
14,14543,6066,01367,11,1800,11,0,0,0,0,22,2339,22,0,0
14,14543,6067,01367,53,9001,53,0,0,0,0,74,10265,74,0,0
14,14543,6068,01367,20,2476,20,0,0,0,0,30,2556,30,0,0
14,14543,6069,01367,8,924,8,0,0,0,0,9,741,9,0,0
14,14552,6062,01371,0,0,0,0,0,0,0,0,0,0,0,0
14,14552,6063,01371,0,0,0,0,0,0,0,0,0,0,0,0
14,14553,6060,01371,4,570,4,0,0,0,0,1,16,1,0,0
14,14553,6061,01371,0,0,0,0,0,0,0,0,0,0,0,0
14,14553,6062,01371,0,0,0,0,0,0,0,0,0,0,0,0
14,14553,6063,01371,0,0,0,0,0,0,0,0,0,0,0,0
14,14553,6064,01371,28,3559,28,0,0,0,0,88,4824,80,0,8
14,14553,6065,01371,4,465,4,0,0,0,0,4,230,2,0,2
14,14553,6066,01371,0,0,0,0,0,0,0,1,28,1,0,0
14,14553,6067,01371,0,0,0,0,0,0,0,0,0,0,0,0
14,14553,6120,01331,0,0,0,0,0,0,0,0,0,0,0,0
